2023-01-28 22:14:37.657 +02:00 [INF] E:\desktop\Projects\BuildingGame\bin\Debug\net6.0-windows\Logs/Latest.log
2023-01-28 22:14:38.576 +02:00 [INF] Hello from game!
2023-01-28 22:14:43.253 +02:00 [INF] Subscribed packet of type TileAction
2023-01-28 22:14:43.257 +02:00 [DBG] Client ready to use
2023-01-28 22:14:43.265 +02:00 [DBG] Must send packet PlayerConnect
2023-01-28 22:14:43.267 +02:00 [DBG] Sended packet to server
2023-01-28 22:14:43.267 +02:00 [DBG] Trying connect to 127.0.0.1:1928...
2023-01-28 22:14:43.288 +02:00 [INF] Packet TileAction received
2023-01-28 22:14:43.315 +02:00 [INF] Packet Empty received
2023-01-28 22:14:43.321 +02:00 [INF] Packet Empty received
2023-01-28 22:14:43.321 +02:00 [INF] Packet Empty received
2023-01-28 22:14:46.703 +02:00 [DBG] Must send packet TileAction
2023-01-28 22:14:46.703 +02:00 [DBG] Sended packet to server
2023-01-28 22:14:46.718 +02:00 [DBG] Must send packet TileAction
2023-01-28 22:14:46.718 +02:00 [DBG] Sended packet to server
2023-01-28 22:14:46.734 +02:00 [DBG] Must send packet TileAction
2023-01-28 22:14:46.734 +02:00 [DBG] Sended packet to server
2023-01-28 22:14:46.750 +02:00 [DBG] Must send packet TileAction
2023-01-28 22:14:46.751 +02:00 [DBG] Sended packet to server
2023-01-28 22:14:46.767 +02:00 [DBG] Must send packet TileAction
2023-01-28 22:14:46.767 +02:00 [DBG] Sended packet to server
2023-01-28 22:14:46.782 +02:00 [DBG] Must send packet TileAction
2023-01-28 22:14:46.784 +02:00 [DBG] Sended packet to server
2023-01-28 22:14:47.234 +02:00 [DBG] Must send packet TileAction
2023-01-28 22:14:47.234 +02:00 [DBG] Sended packet to server
2023-01-28 22:14:47.250 +02:00 [DBG] Must send packet TileAction
2023-01-28 22:14:47.251 +02:00 [DBG] Sended packet to server
2023-01-28 22:14:47.267 +02:00 [DBG] Must send packet TileAction
2023-01-28 22:14:47.267 +02:00 [DBG] Sended packet to server
2023-01-28 22:14:47.282 +02:00 [DBG] Must send packet TileAction
2023-01-28 22:14:47.283 +02:00 [DBG] Sended packet to server
2023-01-28 22:14:47.467 +02:00 [DBG] Must send packet TileAction
